x,y,value
185,1,169
184,1,171
183,1,172
182,1,172
181,1,173
180,1,175
179,1,176
178,1,176
177,1,175
176,1,175
175,1,174
174,1,175
173,1,176
172,1,178
171,1,176
170,1,176
169,1,175
168,1,175
167,1,175
166,1,175
165,1,175
164,1,174
163,1,175
162,1,175
161,1,174
160,1,174
159,1,174
158,1,174
157,1,173
156,1,172
155,1,174
154,1,174
153,1,174
152,1,173
151,1,173
150,1,174
149,1,174
148,1,174
147,1,174
146,1,174
145,1,173
144,1,173
143,1,173
142,1,173
141,1,174
140,1,174
139,1,174
138,1,174
137,1,174
136,1,174
135,1,173
134,1,173
133,1,173
132,1,173
131,1,172
130,1,174
129,1,175
128,1,174
127,1,174
126,1,173
125,1,173
124,1,173
123,1,173
122,1,173
121,1,173
120,1,173
119,1,175
118,1,174
117,1,174
116,1,174
115,1,174
114,1,174
113,1,173
112,1,174
111,1,174
110,1,174
109,1,174
108,1,174
107,1,174
106,1,174
105,1,174
104,1,174
103,1,174
102,1,174
101,1,174
100,1,174
99,1,175
98,1,175
97,1,175
96,1,175
95,1,175
94,1,175
93,1,175
92,1,175
91,1,176
90,1,174
89,1,174
88,1,175
87,1,175
86,1,175
85,1,175
84,1,175
83,1,175
82,1,175
81,1,175
80,1,175
79,1,175
78,1,174
77,1,174
76,1,174
75,1,174
74,1,174
73,1,175
72,1,175
71,1,175
70,1,175
69,1,175
68,1,176
67,1,176
66,1,176
65,1,176
64,1,176
63,1,177
62,1,176
61,1,177
60,1,177
59,1,177
58,1,177
57,1,178
56,1,177
55,1,177
54,1,177
53,1,177
52,1,177
51,1,177
50,1,177
49,1,177
48,1,177
47,1,176
46,1,176
45,1,176
44,1,176
43,1,176
42,1,176
41,1,176
40,1,176
39,1,176
38,1,176
37,1,178
36,1,176
35,1,176
34,1,177
33,1,177
32,1,177
31,1,178
30,1,177
29,1,178
28,1,179
27,1,179
26,1,179
25,1,179
24,1,179
23,1,179
22,1,179
21,1,179
20,1,178
19,1,179
18,1,179
17,1,178
16,1,178
15,1,177
14,1,176
13,1,176
12,1,176
11,1,176
10,1,176
9,1,176
8,1,177
7,1,177
6,1,178
5,1,179
4,1,178
3,1,178
2,1,179
1,1,179
0,1,179
0,2,179
1,2,179
2,2,179
3,2,179
4,2,179
5,2,179
6,2,180
7,2,180
8,2,180
9,2,180
10,2,180
11,2,180
12,2,180
13,2,180
14,2,180
15,2,179
16,2,178
17,2,178
18,2,178
19,2,179
20,2,178
21,2,179
22,2,178
23,2,179
24,2,179
25,2,179
26,2,179
27,2,179
28,2,179
29,2,180
30,2,180
31,2,180
32,2,180
33,2,180
34,2,179
35,2,179
36,2,178
37,2,177
38,2,176
39,2,176
40,2,176
41,2,177
42,2,177
43,2,178
44,2,177
45,2,177
46,2,177
47,2,178
48,2,177
49,2,178
50,2,179
51,2,179
52,2,178
53,2,178
54,2,178
55,2,177
56,2,177
57,2,177
58,2,176
59,2,176
60,2,176
61,2,176
62,2,175
63,2,175
64,2,176
65,2,176
66,2,176
67,2,176
68,2,176
69,2,176
70,2,176
71,2,176
72,2,177
73,2,177
74,2,177
75,2,177
76,2,177
77,2,177
78,2,177
79,2,177
80,2,177
81,2,177
82,2,177
83,2,177
84,2,177
85,2,177
86,2,177
87,2,177
88,2,176
89,2,176
90,2,176
91,2,176
92,2,176
93,2,176
94,2,176
95,2,176
96,2,176
97,2,176
98,2,175
99,2,175
100,2,175
101,2,175
102,2,176
103,2,175
104,2,175
105,2,175
106,2,175
107,2,175
108,2,176
109,2,177
110,2,176
111,2,175
112,2,175
113,2,175
114,2,174
115,2,175
116,2,174
117,2,175
118,2,175
119,2,175
120,2,175
121,2,174
122,2,174
123,2,174
124,2,174
125,2,174
126,2,174
127,2,174
128,2,174
129,2,174
130,2,174
131,2,174
132,2,174
133,2,174
134,2,175
135,2,175
136,2,174
137,2,175
138,2,175
139,2,175
140,2,175
141,2,174
142,2,174
143,2,174
144,2,174
145,2,174
146,2,174
147,2,174
148,2,174
149,2,174
150,2,174
151,2,174
152,2,174
153,2,173
154,2,174
155,2,173
156,2,173
157,2,174
158,2,174
159,2,175
160,2,174
161,2,174
162,2,174
163,2,175
164,2,175
165,2,175
166,2,175
167,2,175
168,2,174
169,2,174
170,2,173
171,2,173
172,2,174
173,2,174
174,2,173
175,2,173
176,2,173
177,2,173
178,2,174
179,2,174
180,2,174
181,2,173
182,2,173
183,2,173
184,2,173
185,2,174
186,2,174
187,2,174
188,2,174
189,2,174
190,2,173
191,2,173
192,2,173
193,2,173
194,2,174
195,2,174
196,2,175
197,2,175
198,2,176
199,2,175
200,2,175
201,2,174
202,2,172
203,2,169
204,2,172
205,2,173
206,2,172
